BFS-Nummer,gemeinde,einwohner,fälle_total,letzte Woche,vorletzte Woche,fälle_pro_hundert,letzte_sieben_tage,vorletzte_sieben_tage,kategorie_sieben_tage,Wappen
4261,Wallbach,1983.0,603.0,56.0,33.0,30.408472012102873,56.0,33.0,4.0,http://i.imgur.com/FNtG3ZP.png
4240,Waltenschwil,2991.0,1015.0,85.0,83.0,33.93513874958208,85.0,83.0,4.0,http://i.imgur.com/b4SUG3R.png
4262,Wegenstetten,1031.0,301.0,31.0,16.0,29.194956353055286,31.0,16.0,3.0,http://i.imgur.com/zXwaQpI.png
4045,Wettingen,21106.0,6833.0,509.0,423.0,32.374680185729176,509.0,423.0,4.0,http://i.imgur.com/bZt880G.png
4081,Widen,3818.0,1271.0,118.0,64.0,33.28968046097433,118.0,64.0,4.0,http://i.imgur.com/vcitIcK.png
4288,Wiliberg,173.0,,,,,,,,http://i.imgur.com/5dd7Hhd.png
4123,Windisch,7668.0,2532.0,210.0,152.0,33.02034428794992,210.0,152.0,4.0,http://i.imgur.com/rEkQqqO.png
4181,Wittnau,1349.0,442.0,54.0,26.0,32.76501111934766,54.0,26.0,4.0,http://i.imgur.com/MAHyAYx.png
4082,Wohlen,16661.0,5422.0,390.0,290.0,32.54306464197827,390.0,290.0,4.0,http://i.imgur.com/toO1BXR.png
4046,Wohlenschwil,1635.0,565.0,56.0,31.0,34.5565749235474,56.0,31.0,4.0,http://i.imgur.com/o0QVJBn.png
4182,Wölflinswil,1033.0,361.0,31.0,24.0,34.94675701839303,31.0,24.0,3.0,http://i.imgur.com/vV3lkT2.png
4047,Würenlingen,4788.0,1600.0,122.0,131.0,33.41687552213868,122.0,131.0,4.0,http://i.imgur.com/MCG8Kel.png
4048,Würenlos,6482.0,2072.0,133.0,91.0,31.96544276457883,133.0,91.0,4.0,http://i.imgur.com/BeciNc5.png
4183,Zeihen,1162.0,387.0,68.0,24.0,33.304647160068846,68.0,24.0,4.0,http://i.imgur.com/DRqKcvq.png
4263,Zeiningen,2392.0,767.0,60.0,54.0,32.065217391304344,60.0,54.0,4.0,http://i.imgur.com/NDqPy8c.png
4147,Zetzwil,1344.0,442.0,30.0,25.0,32.88690476190476,30.0,25.0,2.0,http://i.imgur.com/HQ60iSU.png
4289,Zofingen,11909.0,3757.0,394.0,315.0,31.547569065412713,394.0,315.0,4.0,http://i.imgur.com/Qf7Qf0z.png
4083,Zufikon,4503.0,1412.0,137.0,98.0,31.356873195647346,137.0,98.0,4.0,http://i.imgur.com/LxfskzN.png
4324,Zurzach,7552.0,1731.0,122.0,89.0,22.921080508474574,122.0,89.0,4.0,https://i.imgur.com/LNTr6vQ.png
4264,Zuzgen,868.0,240.0,19.0,14.0,27.64976958525346,19.0,14.0,2.0,http://i.imgur.com/SNdgB4O.png
